TYPE,algorithm,pattern,n,time_ms,comparisons,moves,max_depth,extra_heap_bytes
RESULT,Insertion,random,1000,0.111319,252386,253389,0,0
RESULT,Quick,random,1000,0.051002,11281,16317,22,0
RESULT,Merge,random,1000,0.071269,8710,19952,11,4000
RESULT,Insertion,sorted,1000,0.001225,999,1998,0,0
RESULT,Quick,sorted,1000,0.570755,499500,999,1000,0
RESULT,Merge,sorted,1000,0.017587,5044,19952,11,4000
RESULT,Insertion,reversed,1000,0.205724,499500,501498,0,0
RESULT,Quick,reversed,1000,0.397811,499500,2499,1000,0
RESULT,Merge,reversed,1000,0.016141,4932,19952,11,4000
RESULT,Insertion,duplicates,1000,0.108039,246654,247655,0,0
RESULT,Quick,duplicates,1000,0.053011,29473,7919,67,0
RESULT,Merge,duplicates,1000,0.053115,8615,19952,11,4000
RESULT,Insertion,random,5000,2.654544,6264831,6269841,0,0
RESULT,Quick,random,5000,0.356392,70248,90620,30,0
RESULT,Merge,random,5000,0.384916,55257,123616,14,20000
RESULT,Insertion,sorted,5000,0.005595,4999,9998,0,0
RESULT,Quick,sorted,5000,18.543435,12497500,4999,5000,0
RESULT,Merge,sorted,5000,0.091836,32004,123616,14,20000
RESULT,Insertion,reversed,5000,5.490877,12497500,12507498,0,0
RESULT,Quick,reversed,5000,14.283819,12497500,12499,5000,0
RESULT,Merge,reversed,5000,0.114995,29804,123616,14,20000
RESULT,Insertion,duplicates,5000,2.743274,6018202,6023206,0,0
RESULT,Quick,duplicates,5000,2.827354,647226,37296,289,0
RESULT,Merge,duplicates,5000,0.263457,54567,123616,14,20000
RESULT,Insertion,random,10000,13.422879,25186644,25196653,0,0
RESULT,Quick,random,10000,0.719043,169693,246390,33,0
RESULT,Merge,random,10000,0.920687,120459,267232,15,40000
RESULT,Insertion,sorted,10000,0.011004,9999,19998,0,0
RESULT,Quick,sorted,10000,51.246116,49995000,9999,10000,0
RESULT,Merge,sorted,10000,0.185660,69008,267232,15,40000
RESULT,Insertion,reversed,10000,28.984287,49995000,50014998,0,0
RESULT,Quick,reversed,10000,44.735621,49995000,24999,10000,0
RESULT,Merge,reversed,10000,0.173826,64608,267232,15,40000
RESULT,Insertion,duplicates,10000,10.971813,23810850,23820853,0,0
RESULT,Quick,duplicates,10000,2.870013,2544556,106886,561,0
RESULT,Merge,duplicates,10000,0.628301,118909,267232,15,40000
STABILITY,Insertion,0
STABILITY,Quick,366
STABILITY,Merge,0
